Red	Rango	Porcentaje
Facebook	0-24 999	7
Facebook	25 000-49 999	22
Facebook	50 000-74 999	36
Facebook	75 000-99 999	18
Facebook	100 000-149 999	12
Facebook	150 000+	5
Otra	0-24 999	22
Otra	25 000-49 999	29
Otra	50 000-74 999	16
Otra	75 000-99 999	20
Otra	100 000-149 999	8
Otra	150 000+	5
Digg	0-24 999	14
Digg	25 000-49 999	28
Digg	50 000-74 999	25
Digg	75 000-99 999	20
Digg	100 000-149 999	10
Digg	150 000+	4
Docstoc	0-24 999	10
Docstoc	25 000-49 999	23
Docstoc	50 000-74 999	30
Docstoc	75 000-99 999	20
Docstoc	100 000-149 999	12
Docstoc	150 000+	6
Flickr	0-24 999	12
Flickr	25 000-49 999	27
Flickr	50 000-74 999	29
Flickr	75 000-99 999	18
Flickr	100 000-149 999	10
Flickr	150 000+	4
Frienfeed	0-24 999	30
Frienfeed	25 000-49 999	30
Frienfeed	50 000-74 999	15
Frienfeed	75 000-99 999	15
Frienfeed	100 000-149 999	6
Frienfeed	150 000+	3
Linkedin	0-24 999	11
Linkedin	25 000-49 999	18
Linkedin	50 000-74 999	23
Linkedin	75 000-99 999	23
Linkedin	100 000-149 999	16
Linkedin	150 000+	10
Mixx	0-24 999	17
Mixx	25 000-49 999	32
Mixx	50 000-74 999	24
Mixx	75 000-99 999	16
Mixx	100 000-149 999	8
Mixx	150 000+	3
MySpace	0-24 999	7
MySpace	25 000-49 999	39
MySpace	50 000-74 999	35
MySpace	75 000-99 999	11
MySpace	100 000-149 999	6
MySpace	150 000+	2
Ning	0-24 999	13
Ning	25 000-49 999	34
Ning	50 000-74 999	28
Ning	75 000-99 999	14
Ning	100 000-149 999	8
Ning	150 000+	3
Qik	0-24 999	21
Qik	25 000-49 999	31
Qik	50 000-74 999	23
Qik	75 000-99 999	16
Qik	100 000-149 999	7
Qik	150 000+	3
Scribd	0-24 999	13
Scribd	25 000-49 999	25
Scribd	50 000-74 999	27
Scribd	75 000-99 999	20
Scribd	100 000-149 999	10
Scribd	150 000+	5
Twitter	0-24 999	13
Twitter	25 000-49 999	30
Twitter	50 000-74 999	27
Twitter	75 000-99 999	16
Twitter	100 000-149 999	10
Twitter	150 000+	4
Otra2	0-30,000	20
Otra2	30,000-60,000	28
Otra2	60,000-100,000	29
Otra2	100,000+	23
UstreamTV	0-24 999	18
UstreamTV	25 000-49 999	35
UstreamTV	50 000-74 999	24
UstreamTV	75 000-99 999	13
UstreamTV	100 000-149 999	7
UstreamTV	150 000+	2
Yelp	0-24 999	9
Yelp	25 000-49 999	18
Yelp	50 000-74 999	29
Yelp	75 000-99 999	19
Yelp	100 000-149 999	16
Yelp	150 000+	8
Youtube	0-30,000	20
Youtube	30,000-60,000	27
Youtube	60,000-100,000	27
Youtube	100,000+	27
